t,x,y,z,vx,vy,l2_actual,cy_pos_y,cy_neg_y
3.056,0.30356915077896585,-0.5262523627545761,0.250163978390629,0.10196073781319932,-0.14417276963948975,0.5787999999999999,-0.2662538968095264,-0.7862508286996258
3.0580000000000003,0.3037591553456267,-0.5265407230988932,0.25020051553847145,0.09500228333042567,-0.14418017215857096,0.5787999999999998,-0.2666024467192804,-0.786478999478506
3.06,0.30393819796578925,-0.5268290928195133,0.250208774304027,0.08952131008127587,-0.1441848603100445,0.5787999999999999,-0.2669557663818991,-0.7867024192571275
3.0620000000000003,0.30410830855996257,-0.527118143600142,0.2501873999080374,0.08505529708666089,-0.1445253903143308,0.5788,-0.26731313436274373,-0.7869231528375402
3.064,0.30427083685532236,-0.5274086439192687,0.2501358131853774,0.08126414767988448,-0.14525015956336884,0.5788000000000001,-0.26767415654473947,-0.7871431312937979
3.0660000000000003,0.3044266445933263,-0.5277010834526471,0.25005364332698654,0.07790386900197808,-0.14621976668920156,0.5788000000000001,-0.2680385827054732,-0.787363584199821
3.068,0.3045762807905857,-0.5279957771551245,0.24994065701989615,0.07481809862968176,-0.14734685123866664,0.5788000000000001,-0.2684062552139515,-0.7875852990962975
3.0700000000000003,0.3047772147053885,-0.5282306311545658,0.24998985016721842,0.10046695740140545,-0.117426999720654,0.5788000000000001,-0.2686971546945945,-0.7877641076145372
3.072,0.30496933900886236,-0.5284691804046228,0.2500123147971506,0.09606215173692573,-0.1192746250284582,0.5787999999999998,-0.2689927856071063,-0.7879455752021391
3.074,0.305153985505959,-0.5287111166872247,0.25000640172255995,0.0923232485483222,-0.12096814130099248,0.5788000000000001,-0.2692924857999415,-0.7881297475745079
3.076,0.3053564180915232,-0.5289009695214902,0.2501416702117881,0.10121629278207885,-0.09492641713278983,0.5788000000000001,-0.26953137932484267,-0.7882705597181379
3.078,0.3055508390766402,-0.5290940652059132,0.25024894815344023,0.09721049255851248,-0.09654784221146001,0.5788000000000001,-0.26977459223850647,-0.7884135381733199
3.08,0.30574525958325616,-0.5292871611265215,0.25031698609512815,0.09721025330796904,-0.09654796030416254,0.5788000000000001,-0.2700178447310638,-0.7885564775219792
3.082,0.30593968006662625,-0.5294802570586147,0.2503457840367972,0.09721024168504784,-0.0965479660466023,0.5788,-0.2702611363213742,-0.7886993777958551
3.084,0.3061231058433278,-0.5296791093484585,0.25035207683321176,0.09171288835077268,-0.09942614492192083,0.5788000000000001,-0.2705107006369863,-0.7888475180599308
3.086,0.3062973181084972,-0.5298827231645071,0.25033309510188434,0.08710613258470819,-0.10180690802428786,0.5787999999999999,-0.27076547736395473,-0.7889999689650595
3.088,0.3064578872166469,-0.5301013364357281,0.2503103495757738,0.08028455407484668,-0.10930663561050742,0.5788,-0.2710397527534346,-0.7891629201180216
3.09,0.3066184548709835,-0.5303293639896884,0.2502577970144886,0.08028382716828321,-0.11401377698019367,0.5788,-0.2713213301955376,-0.7893373977838393
3.092,0.3067790217590395,-0.5305573919240566,0.25016600445383097,0.08028344402800923,-0.11401396718410621,0.5788000000000001,-0.2716030028580501,-0.7895117809900631
3.094,0.30692601658212587,-0.5307858302226812,0.2500489332335934,0.07349741154318334,-0.11421914931232882,0.5788,-0.2718909204484212,-0.7896807399969412
3.096,0.3070623586048823,-0.5310157767196404,0.2499047621888043,0.0681710113782014,-0.11497324847957652,0.5787999999999998,-0.2721840356289968,-0.789847517810284
3.098,0.3071986996970241,-0.5312457236808933,0.24972135114446992,0.06817054607092872,-0.11497348062644844,0.5787999999999999,-0.27247722586850726,-0.7900142214932793
3.1,0.3073087566541022,-0.5314787008465989,0.2495479215207339,0.055028478539033324,-0.11648858285278198,0.5787999999999999,-0.272776230840376,-0.7901811708528217
3.102,0.30746129530926314,-0.5316286171987453,0.24957390602870547,0.07626932758049257,-0.07495817607324554,0.5788,-0.2729777837886791,-0.7902794506088116
3.104,0.3076533583738008,-0.53173193730881,0.24973565088347335,0.09603153226882502,-0.05166005503233534,0.5788,-0.27312467288356956,-0.7903392017340504
